distance,shape,scale,freq,model,comp,m0_default
1505.0,0.6842795555698524,5.882915032917607e-06,0.01,Cold100,v,6.0
1510.0,0.6844088175938492,5.8611924727685355e-06,0.01,Cold100,v,6.0
1515.0,0.6845380796178461,5.839469912619465e-06,0.01,Cold100,v,6.0
1520.0,0.6846673416418428,5.817747352470394e-06,0.01,Cold100,v,6.0
1525.0,0.6847966036658396,5.796024792321322e-06,0.01,Cold100,v,6.0
1530.0,0.6849258656898365,5.774302232172251e-06,0.01,Cold100,v,6.0
1535.0,0.6850551277138333,5.75257967202318e-06,0.01,Cold100,v,6.0
1540.0,0.68518438973783,5.730857111874109e-06,0.01,Cold100,v,6.0
1545.0,0.6853136517618268,5.709134551725037e-06,0.01,Cold100,v,6.0
1550.0,0.6854429137858237,5.687411991575966e-06,0.01,Cold100,v,6.0
1555.0,0.6855721758098204,5.6656894314268946e-06,0.01,Cold100,v,6.0
1560.0,0.685570929445094,5.651081663962658e-06,0.01,Cold100,v,6.0
1565.0,0.6855696830803675,5.636473896498422e-06,0.01,Cold100,v,6.0
1570.0,0.685568436715641,5.621866129034185e-06,0.01,Cold100,v,6.0
1575.0,0.6855671903509146,5.607258361569949e-06,0.01,Cold100,v,6.0
1580.0,0.6855659439861881,5.592650594105712e-06,0.01,Cold100,v,6.0
1585.0,0.6855646976214617,5.578042826641476e-06,0.01,Cold100,v,6.0
1590.0,0.6855634512567352,5.563435059177239e-06,0.01,Cold100,v,6.0
1595.0,0.6855622048920088,5.548827291713003e-06,0.01,Cold100,v,6.0
1600.0,0.6855609585272823,5.534219524248766e-06,0.01,Cold100,v,6.0
1605.0,0.6855597121625558,5.51961175678453e-06,0.01,Cold100,v,6.0
1610.0,0.6854998770716259,5.510515571860156e-06,0.01,Cold100,v,6.0
1615.0,0.6854400419806959,5.501419386935782e-06,0.01,Cold100,v,6.0
1620.0,0.6853802068897659,5.492323202011408e-06,0.01,Cold100,v,6.0
1625.0,0.6853203717988359,5.483227017087034e-06,0.01,Cold100,v,6.0
1630.0,0.6852605367079059,5.47413083216266e-06,0.01,Cold100,v,6.0
1635.0,0.6852007016169758,5.465034647238285e-06,0.01,Cold100,v,6.0
1640.0,0.6851408665260458,5.455938462313911e-06,0.01,Cold100,v,6.0
1645.0,0.6850810314351158,5.446842277389537e-06,0.01,Cold100,v,6.0
1650.0,0.6850211963441858,5.437746092465164e-06,0.01,Cold100,v,6.0
1655.0,0.6849613612532558,5.42864990754079e-06,0.01,Cold100,v,6.0
1660.0,0.684861100826681,5.4194138130466005e-06,0.01,Cold100,v,6.0
1665.0,0.6847608404001062,5.4101777185524105e-06,0.01,Cold100,v,6.0
1670.0,0.6846605799735314,5.400941624058222e-06,0.01,Cold100,v,6.0
1675.0,0.6845603195469566,5.391705529564032e-06,0.01,Cold100,v,6.0
1680.0,0.6844600591203818,5.382469435069843e-06,0.01,Cold100,v,6.0
1685.0,0.6843597986938069,5.3732333405756545e-06,0.01,Cold100,v,6.0
1690.0,0.6842595382672322,5.3639972460814644e-06,0.01,Cold100,v,6.0
1695.0,0.6841592778406573,5.354761151587275e-06,0.01,Cold100,v,6.0
1700.0,0.6840590174140826,5.345525057093086e-06,0.01,Cold100,v,6.0
1705.0,0.6839587569875077,5.336288962598897e-06,0.01,Cold100,v,6.0
1710.0,0.6839476014307588,5.323096991293626e-06,0.01,Cold100,v,6.0
1715.0,0.6839364458740099,5.309905019988355e-06,0.01,Cold100,v,6.0
1720.0,0.6839252903172611,5.296713048683084e-06,0.01,Cold100,v,6.0
1725.0,0.6839141347605122,5.283521077377813e-06,0.01,Cold100,v,6.0
1730.0,0.6839029792037633,5.270329106072542e-06,0.01,Cold100,v,6.0
1735.0,0.6838918236470144,5.2571371347672715e-06,0.01,Cold100,v,6.0
1740.0,0.6838806680902655,5.243945163462e-06,0.01,Cold100,v,6.0
