distance,amp_median,amp_qmin,amp_qmax,freq,model,comp,m0_default
370.0,6.0713566302770654e-05,3.2890592165023856e-05,0.00015196345020608947,0.01,Cold100,u,6.0
375.0,6.011673249489939e-05,3.238828915566052e-05,0.00015052726075981784,0.01,Cold100,u,6.0
380.0,5.951989868702813e-05,3.188598614629719e-05,0.00014909107131354623,0.01,Cold100,u,6.0
385.0,5.892306487915687e-05,3.138368313693384e-05,0.00014765488186727456,0.01,Cold100,u,6.0
390.0,5.83262310712856e-05,3.08813801275705e-05,0.00014621869242100296,0.01,Cold100,u,6.0
395.0,5.772939726341434e-05,3.0379077118207167e-05,0.00014478250297473132,0.01,Cold100,u,6.0
400.0,5.713256345554307e-05,2.987677410884383e-05,0.00014334631352845968,0.01,Cold100,u,6.0
405.0,5.653572964767181e-05,2.9374471099480488e-05,0.00014191012408218805,0.01,Cold100,u,6.0
410.0,5.6039663759118094e-05,2.8899057101203407e-05,0.00014160864205790016,0.01,Cold100,u,6.0
415.0,5.554359787056439e-05,2.842364310292633e-05,0.00014130716003361225,0.01,Cold100,u,6.0
420.0,5.504753198201067e-05,2.7948229104649247e-05,0.00014100567800932434,0.01,Cold100,u,6.0
425.0,5.455146609345697e-05,2.7472815106372166e-05,0.00014070419598503643,0.01,Cold100,u,6.0
430.0,5.405540020490325e-05,2.6997401108095085e-05,0.00014040271396074854,0.01,Cold100,u,6.0
435.0,5.3559334316349533e-05,2.6521987109818004e-05,0.00014010123193646063,0.01,Cold100,u,6.0
440.0,5.306326842779583e-05,2.6046573111540926e-05,0.00013979974991217275,0.01,Cold100,u,6.0
445.0,5.256720253924211e-05,2.5571159113263844e-05,0.0001394982678878848,0.01,Cold100,u,6.0
450.0,5.20711366506884e-05,2.5095745114986763e-05,0.00013919678586359692,0.01,Cold100,u,6.0
455.0,5.157507076213469e-05,2.462033111670968e-05,0.000138895303839309,0.01,Cold100,u,6.0
460.0,5.1153865029953005e-05,2.4451291233141187e-05,0.00013929307508369685,0.01,Cold100,u,6.0
465.0,5.0732659297771327e-05,2.4282251349572695e-05,0.00013969084632808472,0.01,Cold100,u,6.0
470.0,5.031145356558964e-05,2.41132114660042e-05,0.00014008861757247256,0.01,Cold100,u,6.0
475.0,4.9890247833407955e-05,2.394417158243571e-05,0.00014048638881686043,0.01,Cold100,u,6.0
480.0,4.946904210122628e-05,2.3775131698867214e-05,0.0001408841600612483,0.01,Cold100,u,6.0
485.0,4.904783636904459e-05,2.360609181529872e-05,0.00014128193130563614,0.01,Cold100,u,6.0
490.0,4.8626630636862906e-05,2.3437051931730227e-05,0.000141679702550024,0.01,Cold100,u,6.0
495.0,4.820542490468123e-05,2.3268012048161732e-05,0.00014207747379441185,0.01,Cold100,u,6.0
500.0,4.778421917249954e-05,2.3098972164593237e-05,0.00014247524503879972,0.01,Cold100,u,6.0
505.0,4.7363013440317856e-05,2.2929932281024745e-05,0.00014287301628318757,0.01,Cold100,u,6.0
510.0,4.741810686432747e-05,2.3054384631147414e-05,0.0001425572587890109,0.01,Cold100,u,6.0
515.0,4.7473200288337074e-05,2.3178836981270086e-05,0.00014224150129483418,0.01,Cold100,u,6.0
520.0,4.752829371234669e-05,2.3303289331392758e-05,0.0001419257438006575,0.01,Cold100,u,6.0
525.0,4.758338713635629e-05,2.3427741681515426e-05,0.00014160998630648083,0.01,Cold100,u,6.0
530.0,4.763848056036591e-05,2.35521940316381e-05,0.00014129422881230418,0.01,Cold100,u,6.0
535.0,4.769357398437552e-05,2.3676646381760767e-05,0.00014097847131812748,0.01,Cold100,u,6.0
540.0,4.774866740838512e-05,2.3801098731883435e-05,0.0001406627138239508,0.01,Cold100,u,6.0
545.0,4.7803760832394736e-05,2.3925551082006107e-05,0.00014034695632977412,0.01,Cold100,u,6.0
550.0,4.785885425640434e-05,2.405000343212878e-05,0.00014003119883559744,0.01,Cold100,u,6.0
555.0,4.7913947680413954e-05,2.4174455782251448e-05,0.00013971544134142077,0.01,Cold100,u,6.0
560.0,4.8137800400309504e-05,2.433360268615963e-05,0.00013860141577373225,0.01,Cold100,u,6.0
565.0,4.836165312020506e-05,2.449274959006781e-05,0.0001374873902060438,0.01,Cold100,u,6.0
570.0,4.8585505840100624e-05,2.465189649397599e-05,0.00013637336463835528,0.01,Cold100,u,6.0
575.0,4.880935855999618e-05,2.4811043397884174e-05,0.0001352593390706668,0.01,Cold100,u,6.0
580.0,4.903321127989174e-05,2.4970190301792357e-05,0.0001341453135029783,0.01,Cold100,u,6.0
585.0,4.925706399978729e-05,2.5129337205700536e-05,0.00013303128793528982,0.01,Cold100,u,6.0
590.0,4.9480916719682844e-05,2.5288484109608716e-05,0.00013191726236760134,0.01,Cold100,u,6.0
595.0,4.970476943957841e-05,2.54476310135169e-05,0.00013080323679991282,0.01,Cold100,u,6.0
600.0,4.9928622159473965e-05,2.5606777917425082e-05,0.00012968921123222436,0.01,Cold100,u,6.0
605.0,5.0152474879369514e-05,2.5765924821333262e-05,0.00012857518566453585,0.01,Cold100,u,6.0
610.0,5.016379551086265e-05,2.5763075271085924e-05,0.0001275338148276524,0.01,Cold100,u,6.0
615.0,5.017511614235578e-05,2.576022572083859e-05,0.00012649244399076898,0.01,Cold100,u,6.0
620.0,5.0186436773848904e-05,2.5757376170591253e-05,0.0001254510731538855,0.01,Cold100,u,6.0
625.0,5.019775740534204e-05,2.5754526620343915e-05,0.00012440970231700208,0.01,Cold100,u,6.0
630.0,5.020907803683517e-05,2.5751677070096577e-05,0.0001233683314801186,0.01,Cold100,u,6.0
635.0,5.02203986683283e-05,2.5748827519849243e-05,0.00012232696064323515,0.01,Cold100,u,6.0
640.0,5.0231719299821434e-05,2.5745977969601906e-05,0.0001212855898063517,0.01,Cold100,u,6.0
645.0,5.024303993131456e-05,2.5743128419354568e-05,0.00012024421896946825,0.01,Cold100,u,6.0
650.0,5.025436056280769e-05,2.5740278869107234e-05,0.0001192028481325848,0.01,Cold100,u,6.0
655.0,5.0265681194300824e-05,2.5737429318859896e-05,0.00011816147729570134,0.01,Cold100,u,6.0
660.0,5.002693331509834e-05,2.5624851168805703e-05,0.00011743031797384767,0.01,Cold100,u,6.0
665.0,4.978818543589586e-05,2.5512273018751513e-05,0.00011669915865199401,0.01,Cold100,u,6.0
670.0,4.9549437556693375e-05,2.539969486869732e-05,0.00011596799933014035,0.01,Cold100,u,6.0
675.0,4.9310689677490885e-05,2.5287116718643126e-05,0.00011523684000828669,0.01,Cold100,u,6.0
680.0,4.907194179828841e-05,2.5174538568588936e-05,0.00011450568068643302,0.01,Cold100,u,6.0
