region,iloc,lon,lat,iradius,radius,ratio,ratio_map
corona,5,-79,-89,23,11510000.0,0.11881565880302435,0.6124216033489772
corona,5,-79,-89,24,12010000.0,0.12846558659418852,0.6621610426586063
corona,5,-79,-89,25,12510000.0,0.13833315100732266,0.7130222648234334
corona,5,-79,-89,26,13010000.0,0.14678192130298154,0.7565704764221467
corona,5,-79,-89,27,13510000.0,0.1546768251269763,0.7972638472024448
corona,5,-79,-89,28,14010000.0,0.16211533236216755,0.8356047744286365
corona,5,-79,-89,29,14510000.0,0.1686004538099391,0.8690315846232537
corona,5,-79,-89,30,15010000.0,0.1730777013279411,0.8921090403322752
corona,5,-79,-89,31,15510000.0,0.17794969012176562,0.9172211443989516
corona,5,-79,-89,32,16010000.0,0.18215970552990177,0.9389211830331607
corona,5,-79,-89,33,16510000.0,0.18852452557749563,0.9717279135419508
corona,5,-79,-89,34,17010000.0,0.19260567051945895,0.9927637042284316
corona,5,-79,-89,35,17510000.0,0.19363457668146766,0.9980670823166484
corona,5,-79,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,5,-79,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,6,-59,-89,0,10000.0,0.0,0.0
corona,6,-59,-89,1,510000.0,0.0,0.0
corona,6,-59,-89,2,1010000.0,0.0,0.0
corona,6,-59,-89,3,1510000.0,0.0,0.0
corona,6,-59,-89,4,2010000.0,0.0009889039800517307,0.0050971914571082645
corona,6,-59,-89,5,2510000.0,0.00284349361699047,0.014656459742539929
corona,6,-59,-89,6,3010000.0,0.004547502037937456,0.023439574525470793
corona,6,-59,-89,7,3510000.0,0.006369882195837316,0.03283282276779747
corona,6,-59,-89,8,4010000.0,0.008707420605082894,0.044881394773388664
corona,6,-59,-89,9,4510000.0,0.012800282940461918,0.06597758141217924
corona,6,-59,-89,10,5010000.0,0.01858766468226363,0.09580797280345757
corona,6,-59,-89,11,5510000.0,0.023203103515186126,0.11959771969955928
corona,6,-59,-89,12,6010000.0,0.03130795429663544,0.1613732378466089
corona,6,-59,-89,13,6510000.0,0.03748151424060461,0.1931941402204666
corona,6,-59,-89,14,7010000.0,0.0434420716063502,0.22391714538290192
corona,6,-59,-89,15,7510000.0,0.04944991075212872,0.25488385902474703
corona,6,-59,-89,16,8010000.0,0.05693001117933032,0.29343917355978344
corona,6,-59,-89,17,8510000.0,0.06367719850843578,0.3282167721003682
corona,6,-59,-89,18,9010000.0,0.07175243763774815,0.36983966040331967
corona,6,-59,-89,19,9510000.0,0.08082479553599983,0.416602082344809
corona,6,-59,-89,20,10010000.0,0.08912742845330016,0.4593970456893344
corona,6,-59,-89,21,10510000.0,0.09852953738423587,0.5078591312793427
corona,6,-59,-89,22,11010000.0,0.10850936768308322,0.5592990149978954
corona,6,-59,-89,23,11510000.0,0.11891705049131908,0.6129442151068658
corona,6,-59,-89,24,12010000.0,0.12855596410474926,0.6626268831082734
corona,6,-59,-89,25,12510000.0,0.1382920146912861,0.7128102324290775
corona,6,-59,-89,26,13010000.0,0.14676338828173247,0.7564749501026145
corona,6,-59,-89,27,13510000.0,0.15477417296353438,0.7977656153931701
corona,6,-59,-89,28,14010000.0,0.16210847290760672,0.8355694181616042
corona,6,-59,-89,29,14510000.0,0.16849709862565684,0.8684988522518622
corona,6,-59,-89,30,15010000.0,0.17305083068041327,0.8919705386801546
corona,6,-59,-89,31,15510000.0,0.17789871935500107,0.9169584214631
corona,6,-59,-89,32,16010000.0,0.182145837359949,0.9388497011513655
corona,6,-59,-89,33,16510000.0,0.1884887002234084,0.9715432558881392
corona,6,-59,-89,34,17010000.0,0.19257959800633026,0.9926293164679758
corona,6,-59,-89,35,17510000.0,0.19358293862065387,0.997800919890618
corona,6,-59,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,6,-59,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,7,-39,-89,0,10000.0,0.0,0.0
corona,7,-39,-89,1,510000.0,0.0,0.0
corona,7,-39,-89,2,1010000.0,0.0,0.0
corona,7,-39,-89,3,1510000.0,0.0,0.0
corona,7,-39,-89,4,2010000.0,0.001080667804685668,0.0055701775027011
corona,7,-39,-89,5,2510000.0,0.002869710833423171,0.01479159335947909
